report_year,agency_jurisdiction,population,violent_crimes,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1983,"Jacksonville, FL",605934,5670,935.75,13.53,67.83,476.78,377.6
1983,"Kansas City, MO",453128,7452,1644.57,23.39,93.79,892.68,634.7
1983,"Las Vegas, NV",429080,3564,830.61,17.25,56.87,293.88,462.62
1983,"Long Beach, CA",381798,4679,1225.52,15.72,64.43,333.16,812.21
1983,"Los Angeles County, CA",1084868,11493,1059.39,14.38,53.55,628.56,362.9
1983,"Los Angeles, CA",3158688,53435,1691.68,25.96,78.96,660.97,925.8
1983,"Louisville, KY",,,,,,,
1983,"Memphis, TN",664883,7564,1137.64,19.1,114.76,328.03,675.76
1983,"Mesa, AZ",163310,798,488.64,4.9,22.04,369.85,91.85
1983,"Miami-Dade County, FL",864762,11795,1363.96,20.7,52.85,735.35,555.07
1983,"Miami, FL",374769,9784,2610.67,38.42,97.39,1215.68,1259.18
1983,"Milwaukee, WI",643473,3720,578.11,7.93,36.52,192.08,341.58
1983,"Minneapolis, MN",377850,3487,922.85,4.23,83.63,305.41,529.58
1983,"Montgomery County, MD",533230,1449,271.74,3.19,23.25,128.09,117.21
1983,"Nashville, TN",465887,3289,705.97,17.39,69.54,251.35,367.69
1983,"Nassau County, NY",1058726,1493,141.02,2.93,5.1,43.17,89.82
1983,"New Orleans, LA",589508,8048,1365.21,35.62,90.92,466.83,771.83
1983,"New York City, NY",7100063,132653,1868.34,22.84,51.58,610.22,1183.69
1983,"Newark, NJ",336016,9327,2775.76,33.33,164.58,1004.42,1573.44
1983,"Oakland, CA",362344,6777,1870.32,27.05,131.92,803.66,907.7
1983,"Oklahoma City, OK",441281,4685,1061.68,13.82,120.78,492.66,434.42
1983,"Omaha, NE",327276,2390,730.27,8.25,47.97,484,190.05
1983,"Orlando, FL",142678,2215,1552.45,9.81,98.82,905.54,538.27
1983,"Philadelphia, PA",1692364,16973,1002.92,18.38,48.57,301.12,634.85
1983,"Phoenix, AZ",843415,5270,624.84,9.84,59.16,322.14,233.69
1983,"Pittsburgh, PA",426890,5605,1312.98,9.84,50.13,269.62,983.39
1983,"Portland, OR",371706,6879,1850.66,9.69,101.42,942.14,797.4
1983,"Prince George's County, MD",570120,4817,844.91,9.82,53.32,351.5,430.26
1983,"Raleigh, NC",154482,879,569,7.77,29.78,344.38,187.08
1983,"Sacramento, CA",293695,3080,1048.71,17.71,73.89,428.34,528.78
1983,"Salt Lake City, UT",180892,1163,642.93,7.74,70.76,275.3,289.12
1983,"San Antonio, TX",874483,5327,609.16,18.87,59.35,256.15,274.79
1983,"San Diego, CA",935840,5451,582.47,8.23,42.21,259.55,272.48
1983,"San Francisco, CA",721168,10117,1402.86,11.51,74.74,492.26,824.36
1983,"San Jose, CA",671913,3460,514.95,7.14,66.53,223.84,217.44
1983,"Seattle, WA",514319,4818,936.77,11.86,84.38,445.44,395.09
1983,"St. Louis, MO",457262,8461,1850.36,33.24,70.64,906.7,839.78
1983,"Suffolk County, NY",1169529,2259,193.15,2.22,12.91,93.97,84.05
1983,"Tampa, FL",299965,5053,1684.53,19.34,96.01,1059.46,509.73
1983,"Tucson, AZ",361739,2776,767.4,7.19,69.94,478.52,211.75
1983,"Tulsa, OK",391101,2404,614.67,8.95,49.35,308.87,247.51
1983,"Virginia Beach, VA",271775,587,215.99,4.05,26.86,92.36,92.72
1983,"Washington, DC",623000,11933,1915.41,29.37,65.17,585.23,1235.63
1983,"Wichita, KS",287807,1385,481.23,9.03,55.94,230.71,185.54
1983,United States,,1258087,538.1,8.3,,,
1984,"Albuquerque, NM",356366,3615,1014.41,7.86,58.93,606.68,340.94
1984,"Arlington, TX",191475,765,399.53,6.79,48.57,239.72,104.45
1984,"Atlanta, GA",442951,10525,2376.11,30.48,142.68,1293.37,909.58
1984,"Aurora, CO",191159,1822,953.13,6.8,49.7,730.81,165.83
1984,"Austin, TX",385237,1648,427.79,15.32,68.53,144.59,199.36
1984,"Baltimore County, MD",671586,6111,909.94,4.17,25.46,719.19,161.11
